Area,Item,Year,Avg_rainfall,Pesticides(tonnes),Avg_Temp,Crop_Yield(hectares)
Albania,Maize,1990,1485,121.0,16.37,0.00036613000000000005
Albania,Potatoes,1990,1485,121.0,16.37,0.0006666700000000001
Albania,Rice,1990,1485,121.0,16.37,0.00023333000000000002
Albania,Paddy,1990,1485,121.0,16.37,0.00023333000000000002
Albania,Sorghum,1990,1485,121.0,16.37,0.000125
Albania,Soybeans,1990,1485,121.0,16.37,7.000000000000001e-05
Albania,Wheat,1990,1485,121.0,16.37,0.00030197000000000004
Albania,Maize,1991,1485,121.0,15.36,0.00029068000000000003
Albania,Potatoes,1991,1485,121.0,15.36,0.0007781800000000001
Albania,Rice,1991,1485,121.0,15.36,0.00028538
Albania,Paddy,1991,1485,121.0,15.36,0.00028538
Albania,Sorghum,1991,1485,121.0,15.36,6.667000000000001e-05
Albania,Soybeans,1991,1485,121.0,15.36,6.0660000000000005e-05
Albania,Wheat,1991,1485,121.0,15.36,0.00020698000000000003
Albania,Maize,1992,1485,121.0,16.06,0.00024876
Albania,Potatoes,1992,1485,121.0,16.06,0.0008292
Albania,Rice,1992,1485,121.0,16.06,0.0004
Albania,Paddy,1992,1485,121.0,16.06,0.0004
Albania,Sorghum,1992,1485,121.0,16.06,3.7470000000000005e-05
Albania,Soybeans,1992,1485,121.0,16.06,4.507000000000001e-05
Albania,Wheat,1992,1485,121.0,16.06,0.00024388000000000003
Albania,Maize,1993,1485,121.0,16.05,0.00024185000000000005
Albania,Potatoes,1993,1485,121.0,16.05,0.00098446
Albania,Rice,1993,1485,121.0,16.05,0.00041786000000000004
Albania,Paddy,1993,1485,121.0,16.05,0.00041786000000000004
Albania,Soybeans,1993,1485,121.0,16.05,7.998000000000002e-05
Albania,Wheat,1993,1485,121.0,16.05,0.00029976000000000004
Albania,Maize,1994,1485,201.0,16.96,0.00025848
Albania,Potatoes,1994,1485,201.0,16.96,0.00081404
Albania,Soybeans,1994,1485,201.0,16.96,7.927e-05
Albania,Wheat,1994,1485,201.0,16.96,0.00024745
Albania,Maize,1995,1485,251.0,15.67,0.00031300000000000007
